Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
1960000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1970000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1980000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1990000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2000000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2010000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2020000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2030000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2040000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2050000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2060000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2070000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
2080000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
